-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 02/29/2024 
Location: Latitude  40.7304   Longitude -73.9981 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M
2022,1,1,9.69,8.98,7.32,97.62,16.64,100.68,3.27
2022,1,2,8.69,8.54,6.41,89.88,3.99,100.4,4.12
2022,1,3,0.12,4.67,3.05,81.19,7.15,101.7,9.76
2022,1,4,-1.12,4.08,2.56,75.56,0.0,102.7,5.03
2022,1,5,5.29,5.77,5.31,96.06,2.83,101.28,6.32
2022,1,6,2.98,5.25,3.6,77.0,0.13,101.1,5.69
2022,1,7,0.7,4.42,3.23,81.0,10.32,101.17,9.0
2022,1,8,-1.82,2.98,2.26,72.5,0.0,103.2,5.86
2022,1,9,3.88,5.07,4.27,86.44,5.56,102.15,8.68
2022,1,10,-0.03,3.93,2.69,71.75,0.02,101.91,7.9
2022,1,11,-5.38,1.65,1.83,76.5,0.01,103.03,6.8
2022,1,12,1.29,3.66,3.11,75.25,0.0,102.17,7.31
2022,1,13,4.83,4.9,4.21,79.25,0.0,101.37,2.12
2022,1,14,2.59,4.83,4.03,86.25,0.0,100.78,9.73
2022,1,15,-6.88,0.98,1.71,82.31,0.0,102.34,9.05
2022,1,16,-1.1,2.52,3.11,86.12,6.67,102.19,7.31
2022,1,17,4.51,5.05,4.64,85.31,34.95,98.88,12.38
2022,1,18,0.8,3.32,2.81,70.94,0.12,101.16,8.77
2022,1,19,4.3,4.4,4.03,77.75,0.0,101.74,7.47
2022,1,20,1.43,3.7,3.54,84.0,7.94,102.03,7.22
2022,1,21,-4.99,1.21,1.95,80.06,0.0,103.15,8.53
2022,1,22,-3.24,1.3,2.08,74.25,0.02,102.57,4.98
2022,1,23,-0.28,2.44,2.62,71.25,0.17,101.2,5.01
2022,1,24,0.34,3.18,2.93,75.38,0.17,101.07,3.9
2022,1,25,2.73,3.38,3.66,79.62,0.02,101.37,5.55
2022,1,26,-3.05,1.24,2.08,72.94,0.0,102.61,6.17
2022,1,27,-2.93,1.06,1.95,66.5,0.0,102.78,3.77
2022,1,28,0.2,2.66,3.05,80.75,2.45,101.81,4.2
2022,1,29,-5.54,-0.02,2.2,89.75,9.3,100.42,13.55
2022,1,30,-5.72,-0.76,1.83,78.5,0.01,101.6,6.72
2022,1,31,-2.9,-0.08,1.95,66.44,0.0,102.64,3.39
2022,2,1,-0.15,1.17,2.99,81.38,0.14,103.15,5.35
2022,2,2,4.01,3.12,4.76,96.31,0.2,102.83,2.85
2022,2,3,4.99,3.97,5.31,99.06,5.89,102.21,4.32
2022,2,4,4.08,3.87,4.88,91.94,47.54,101.19,7.74
2022,2,5,-3.23,0.67,2.2,76.62,0.2,102.38,8.71
2022,2,6,-3.01,0.33,2.2,74.38,0.0,103.36,4.01
2022,2,7,2.33,2.07,4.21,94.88,8.32,102.26,3.55
2022,2,8,2.29,2.69,3.78,85.12,1.53,101.31,6.18
2022,2,9,1.98,2.38,3.6,82.62,0.0,101.65,3.98
2022,2,10,4.48,3.36,4.46,86.69,0.05,101.12,4.7
2022,2,11,5.64,4.03,4.7,83.81,0.0,101.37,4.63
2022,2,12,6.83,5.15,4.88,80.5,0.04,101.38,6.06
2022,2,13,0.37,2.37,3.36,86.62,5.35,101.83,5.77
2022,2,14,-4.49,0.1,1.83,72.38,0.02,102.14,8.45
2022,2,15,-3.73,0.16,1.77,67.19,0.0,103.6,4.28
2022,2,16,2.44,2.18,3.72,81.94,0.03,103.48,5.55
2022,2,17,7.67,5.39,5.92,91.94,2.18,101.76,10.23
2022,2,18,5.09,4.58,4.58,75.88,12.83,100.71,10.89
2022,2,19,0.27,2.26,2.44,63.62,0.67,101.64,8.48
2022,2,20,-1.4,2.3,2.32,68.75,0.0,102.85,6.54
2022,2,21,3.83,3.7,4.39,89.12,0.0,102.59,4.91
2022,2,22,6.45,5.33,5.8,97.06,5.31,102.16,6.26
2022,2,23,9.31,7.12,6.41,86.56,0.09,101.51,7.95
2022,2,24,0.4,2.92,2.75,71.56,0.89,102.92,5.71
2022,2,25,1.93,2.87,3.85,87.38,20.77,101.91,8.3
2022,2,26,-1.37,1.71,2.38,73.0,0.02,102.74,5.7
2022,2,27,2.22,2.76,3.23,73.75,0.0,101.63,7.62
2022,2,28,-0.43,1.97,2.14,60.44,0.0,102.34,5.47
2022,3,1,3.35,3.04,3.78,77.81,0.45,101.91,5.34
2022,3,2,4.8,4.13,4.27,81.12,0.04,101.42,4.18
2022,3,3,2.6,3.69,3.42,73.56,1.9,101.76,8.3
2022,3,4,-1.08,2.36,2.2,65.5,0.0,103.14,4.41
2022,3,5,3.02,3.33,3.42,73.44,0.01,102.99,3.37
2022,3,6,9.23,6.9,7.02,96.69,2.24,101.63,7.84
2022,3,7,11.33,8.6,7.63,91.94,5.77,100.63,8.02
2022,3,8,4.58,4.56,3.48,67.5,0.0,101.74,6.85
2022,3,9,2.72,3.62,4.15,91.5,18.77,101.57,5.73
2022,3,10,3.44,4.06,3.91,82.88,0.28,101.96,2.39
2022,3,11,5.15,4.91,4.76,88.31,0.11,101.58,2.73
2022,3,12,2.26,3.64,4.09,85.94,11.46,99.74,8.84
2022,3,13,-0.71,2.55,2.44,69.19,0.21,102.02,8.91
2022,3,14,4.98,4.98,4.33,81.5,0.0,102.7,5.48
2022,3,15,7.42,6.65,5.55,87.75,0.01,102.18,5.09
2022,3,16,8.39,7.46,5.62,83.69,0.01,102.12,3.6
2022,3,17,8.21,7.2,6.53,97.25,11.19,101.43,4.65
2022,3,18,9.96,8.8,6.84,91.25,0.23,101.42,3.95
2022,3,19,10.48,9.21,7.51,95.44,2.27,100.86,5.86
2022,3,20,9.47,8.13,6.04,82.5,0.27,100.82,5.96
2022,3,21,8.23,7.38,4.88,73.69,0.01,101.7,5.88
2022,3,22,7.02,6.29,4.21,68.81,0.0,102.06,5.2
