-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 02/29/2024 
Location: Latitude  47.4814   Longitude 7.7305 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 562.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M
2022,1,1,6.1,2.37,4.03,65.81,0.0,95.99,1.86
2022,1,2,6.48,4.59,4.94,77.06,0.01,95.54,4.26
2022,1,3,7.34,6.73,5.98,89.06,0.73,95.17,5.55
2022,1,4,8.56,7.84,6.1,81.75,12.21,93.7,7.91
2022,1,5,-0.06,-0.18,3.6,89.56,3.55,94.36,4.16
2022,1,6,-1.17,-2.33,3.42,94.44,0.47,95.17,1.74
2022,1,7,-1.08,-1.49,3.36,92.38,1.4,95.1,4.32
2022,1,8,0.79,0.37,3.78,88.88,5.01,94.46,6.24
2022,1,9,0.64,0.23,4.09,96.19,8.2,93.92,5.45
2022,1,10,-1.45,-2.18,3.48,96.06,0.72,95.22,2.48
2022,1,11,-2.47,-2.92,3.17,95.75,0.05,96.2,3.94
2022,1,12,-3.91,-4.39,2.69,93.25,0.02,96.76,3.04
2022,1,13,-4.03,-4.63,2.69,93.81,0.0,96.95,2.91
2022,1,14,-2.59,-3.74,2.93,90.81,0.02,96.61,1.32
2022,1,15,-1.9,-2.48,3.3,95.62,0.05,95.88,1.8
2022,1,16,-2.45,-3.43,2.93,89.19,0.07,96.1,2.86
